SKLYPO_ID,UNIKAL_ID,PLOTAS_REG,ADRESAS,PASK_TIP,SKLYPO_PLOTAS_M2,PAGRINDINE_ZONA_PAV,PAGRINDINE_ZONOS_KODAS,PAGRINDINE_U_INTENS,PAGRINDINE_MAX_AUK_SK,PAGRINDINE_PAGR_PASK,PAGRINDINE_BP_OBJ_NR,PAGRINDINE_ZONOS_PROC,ANTRA_ZONA_PAV,ANTRA_ZONOS_KODAS,ANTRA_ZONOS_PROC,draustiniu_proc,rezervatu_proc,parku_proc,biosferos_poligonu_proc,bast_proc,past_proc,pajurio_juostos_proc,buferiniu_apsaugos_zonu_proc
552800060249,440006158498,1.28,KlaipÓdos r. sav. Graud×ÕiÖ k.,610,13441.67,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,"0,2*",0,KT,116,61.29,Pramonės ir sandėliavimo zona,U_PS_F,38.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800060298,440008907328,0.15,KlaipÓdos r. sav. GirkaliÖ k.,610,1384.29,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,"0,4*",0,KT,142,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800060401,440013702460,0.1501,KlaipÓdos r. sav. GirkaliÖ k. Lalvario g. 7,995,1501.44,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,"0,4*",0,KT,142,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800060457,440015632498,0.1359,KlaipÓdos r. sav. GirkaliÖ k. Sidabro g. 12,995,1359.04,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,"0,4*",0,KT,142,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800060568,440024366201,0.0848,KlaipÓdos r. sav. Graud×ÕiÖ k. GeguUraibiÖ g. 8,995,847.37,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,"0,2*",0,KT,165,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800070036,552800070036,0.8,KlaipÓdos r. sav. GirkaliÖ k.,610,8562.41,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,"0,4*",0,KT,142,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800070169,440039305969,0.06,KlaipÓdos r. sav. GibiÕÓliÖ k.,995,600.01,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,"0,4*",0,KT,142,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800070372,552800070372,1.7348,KlaipÓdos r. sav. Let×kÖ k.,610,17348.13,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,"0,2*",0,KT,165,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800070597,440014910226,0.0368,KlaipÓdos r. sav. Let×kÖ k.,995,367.86,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,"0,2*",0,KT,165,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800070609,440014911445,0.0438,KlaipÓdos r. sav. Let×kÖ k.,995,437.95,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,"0,2*",0,KT,165,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800070615,440014910091,0.15,KlaipÓdos r. sav. Let×kÖ k.,995,1499.87,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,"0,2*",0,KT,165,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800070643,440014910259,0.1071,KlaipÓdos r. sav. Let×kÖ k.,995,1070.98,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,"0,2*",0,KT,165,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800070751,440018007495,0.163,KlaipÓdos r. sav. GirkaliÖ k.,995,1623.13,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,"0,4*",0,KT,142,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800080070,552800080070,2.4785,KlaipÓdos r. sav. LankuNiÖ k.,610,24785.18,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,"0,2*",0,KT,165,99.38,Miškų ir miškingų teritorijų zona,MI_F,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800080168,440009020997,1.29,KlaipÓdos r. sav. LankuNiÖ k.,610,14038.83,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,"0,2*",0,KT,165,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800080225,440020487452,2.2601,KlaipÓdos r. sav. LankuNiÖ k.,610,22600.24,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,192,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800090117,440010645291,0.0772,KlaipÓdos r. sav. LankuNiÖ k.,610,772.17,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,192,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800090153,440010646794,0.1011,KlaipÓdos r. sav. LankuNiÖ k.,610,1011.44,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,192,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800090160,440010647000,0.0819,KlaipÓdos r. sav. LankuNiÖ k.,610,819.38,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,192,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800090201,440010654080,0.0617,KlaipÓdos r. sav. LankuNiÖ k.,610,616.5,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,192,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800090204,440010654190,0.0614,KlaipÓdos r. sav. LankuNiÖ k.,610,613.94,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,192,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800090205,440010654236,82.3678,KlaipÓdos r. sav. LankuNiÖ k.,610,5157.92,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,192,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800100023,552800100023,0.06,KlaipÓdos r. sav. KalotÓs k. NendriÖ g. 4,610,577.32,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,"0,4",0,KT,518,100.0,,,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
552800100113,552800100113,0.0633,KlaipÓdos r. sav. KalotÓs k. GandrÖ g. 3,610,632.63,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,"0,4",0,KT,518,100.0,,,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
553000010101,553000010101,1.0016,KlaipÓdos r. sav. SudmantÖ k.,610,10013.94,Pramonės ir sandėliavimo zona,U_PS_F,"2,5",0,KT,355,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
553000010157,440001972065,1.66,KlaipÓdos r. sav. SudmantÖ k.,610,16600.41,Vidutinio užstatymo intensyvumo gyvenamoji zona,U_GG_V_F,"0,8*",0,KT,381,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
553000010273,440020129193,0.1083,KlaipÓdos r. sav. SudmantÖ k.,995,1082.88,Vidutinio užstatymo intensyvumo gyvenamoji zona,U_GG_V_F,"0,8*",0,KT,381,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
553000020128,440011240530,1.1741,KlaipÓdos r. sav. LeliÖ k.,610,11741.33,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,"0,4*",0,KT,411,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
553000030110,440003015476,2.88,KlaipÓdos r. sav. JakÖ k.,610,29619.99,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,"0,4*",0,KT,206,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
553000030389,440015048718,0.0985,KlaipÓdos r. sav. JakÖ k. PakalnuNiÖ g. 50,995,985.09,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,"0,4*",0,KT,206,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
553000030417,440015051277,0.1066,KlaipÓdos r. sav. JakÖ k. PakalnuNiÖ g. 3,995,1066.47,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,"0,4*",0,KT,206,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
553000030475,440024736370,0.15,KlaipÓdos r. sav. JakÖ k. Vasarojaus g. 31,995,1500.27,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,"0,4*",0,KT,206,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
553000040008,553000040008,0.1099,KlaipÓdos r. sav. JakÖ k. PaÕto g. 24,995,1099.24,Vidutinio užstatymo intensyvumo gyvenamoji zona,U_GG_V_F,"0,8*",0,KT,207,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
553000040014,553000040014,0.1098,KlaipÓdos r. sav. JakÖ k. PaÕto g. 30,995,1099.83,Vidutinio užstatymo intensyvumo gyvenamoji zona,U_GG_V_F,"0,8*",0,KT,207,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
553000040203,553000040203,0.15,KlaipÓdos r. sav. JakÖ k.,610,1542.56,Vidutinio užstatymo intensyvumo gyvenamoji zona,U_GG_V_F,"0,8*",0,KT,207,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
553000050261,553000050261,6.13,KlaipÓdos r. sav. ¾vepeliÖ k.,610,61299.95,Pramonės ir sandėliavimo zona,U_PS_F,"2,5",0,KT,352,99.66,Vidutinio užstatymo intensyvumo gyvenamoji zona,U_GG_V_F,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
553000050560,440003808046,0.12,KlaipÓdos r. sav. BudrikÖ k. L×UÖ g. 4,995,1200.13,Vidutinio užstatymo intensyvumo gyvenamoji zona,U_GG_V_F,"0,8*",0,KT,207,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
553000050612,440004860508,0.9,KlaipÓdos r. sav. JakÖ k.,610,8999.61,Vidutinio užstatymo intensyvumo gyvenamoji zona,U_GG_V_F,"0,8*",0,KT,207,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
553000050820,440014957947,1.2831,KlaipÓdos r. sav. JakÖ k.,610,12831.33,Vidutinio užstatymo intensyvumo gyvenamoji zona,U_GG_V_F,"0,8*",0,KT,207,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
553000050917,440017996536,0.1502,KlaipÓdos r. sav. ¾vepeliÖ k. LiemgaliÖ g. 11,995,1501.84,Vidutinio užstatymo intensyvumo gyvenamoji zona,U_GG_V_F,"0,8*",0,KT,207,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
