db_sklypo_id,atviru_unikalus_nr,atviru_kadastro_nr,persidengimo_proc_nuo_seno,persidengimo_proc_nuo_naujo
552000200079,552000200079,5520/0020:0079,100.00000000109657,99.99999999831886
552300040882,440046361257,5523/0004:0882,100.0000000010908,99.99999999727638
552300050186,552300050186,5523/0005:0186,100.0000000010902,99.999999994863
555800071288,440031693993,5558/0007:1288,100.0000000010868,99.99999999397902
552800070599,440014910626,5528/0007:0599,100.00000000108456,99.99999999201228
556300030508,440052748402,5563/0003:0508,100.00000000108132,99.99999999859672
552800060031,552800060031,5528/0006:0031,100.00000000106932,99.9999999987508
553800040059,553800040059,5538/0004:0059,100.00000000106787,100.00000000113154
553800020136,553800020136,5538/0002:0136,100.00000000106564,97.71979167222312
551300060120,551300060120,5513/0006:0120,100.00000000106397,99.999999999429
552000170129,552000170129,5520/0017:0129,100.00000000106364,99.99999999958855
552000110258,440019903170,5520/0011:0258,100.00000000106276,99.99999999393997
552800020033,552800020033,5528/0002:0033,100.0000000010608,100.0000000008028
551300230474,551300230474,5513/0023:0474,100.00000000105626,99.99999999699784
555200010188,440007003910,5552/0001:0188,100.00000000105456,99.99999999905596
556500010076,440002446917,5565/0001:0076,100.00000000105273,99.99999999851352
555800030644,440022537544,5558/0003:0644,100.00000000104848,99.99506660902962
554400140196,554400140196,5544/0014:0196,100.00000000104794,97.09048933435308
551300180357,551300180357,5513/0018:0357,100.00000000104782,99.9999999959204
552000150188,552000150188,5520/0015:0188,100.0000000010449,97.2570771723646
554400140106,554400140106,5544/0014:0106,100.00000000103032,99.99999999832116
554400050749,440007443620,5544/0005:0749,100.00000000103024,99.99999999450834
554400190009,554400190009,5544/0019:0009,100.00000000102952,99.98292793700256
554400130118,554400130118,5544/0013:0118,100.00000000102874,100.000000000235
553300040315,440010185490,5533/0004:0315,100.00000000102538,99.99999999382509
552500030099,440009362041,5525/0003:0099,100.00000000102304,99.9999999996054
555800020645,440014746319,5558/0002:0645,100.00000000101907,99.9999999970433
555200090260,440029067594,5552/0009:0260,100.00000000101876,100.00000000059546
554400050723,440006711517,5544/0005:0723,100.0000000010173,99.99999999856924
551000051274,440023620068,5510/0005:1274,100.00000000101716,100.0000000004158
555200130775,440015728548,5552/0013:0775,100.000000001015,99.9969659593624
552800070589,440014909227,5528/0007:0589,100.00000000101386,99.9999999962606
551300080113,551300080113,5513/0008:0113,100.0000000010029,99.9999999986455
552000010699,440022934056,5520/0001:0699,100.000000000997,99.99999998530662
551300230074,551300230074,5513/0023:0074,100.0000000009908,99.99999999897857
552000110088,440004746370,5520/0011:0088,100.00000000098804,99.99999999970304
555800070724,440012358656,5558/0007:0724,100.000000000986,99.99999999748188
554300030104,554300030104,5543/0003:0104,100.0000000009855,99.99999999741463
551000040570,440015116540,5510/0004:0570,100.00000000097651,99.99999999582336
555500050383,555500050383,5555/0005:0383,100.0000000009764,99.99999999974118
555200120923,555200120923,5552/0012:0923,100.00000000097496,100.00000000037583
552800100004,552800100004,5528/0010:0004,100.00000000096844,95.13633874602291
553800030663,440003409948,5538/0003:0663,100.00000000096034,99.99999999726526
554400200116,554400200116,5544/0020:0116,100.0000000009542,99.99897389874806
554400140087,554400140087,5544/0014:0087,100.0000000009522,99.99999999863928
554400130149,554400130149,5544/0013:0149,100.00000000095086,97.1616488469434
554400190131,554400190131,5544/0019:0131,100.00000000095017,97.21503830087327
553800150466,440020412726,5538/0015:0466,100.00000000094744,99.99999999785943
555800040879,440027917139,5558/0004:0879,100.00000000094668,99.99999999739958
555800060428,440030078687,5558/0006:0428,100.00000000094656,99.9997404586426
556800100074,556800100074,5568/0010:0074,100.00000000094592,99.99999999531155
553000050192,553000050192,5530/0005:0192,100.00000000094585,99.9999999966372
551500040147,440009762789,5515/0004:0147,100.00000000094202,99.99999999906017
555200090654,440009708183,5552/0009:0654,100.00000000094134,100.00000000092162
551300210147,551300210147,5513/0021:0147,100.00000000094008,97.91410556160754
553800020560,553800020560,5538/0002:0560,100.00000000093809,99.9999999984148
552000010691,440021581204,5520/0001:0691,100.00000000093624,99.99999997518006
552000010787,440020221901,5520/0001:0787,100.0000000009346,99.99568238555348
552500040325,440048218339,5525/0004:0325,100.0000000009316,99.9999999990214
552300080011,552300080011,5523/0008:0011,100.0000000009314,100.0000000002586
556800090179,556800090179,5568/0009:0179,100.00000000093124,99.99999999860404
553300030127,553300030127,5533/0003:0127,100.00000000093078,99.99999999454532
