SKLYPO_ID,drenazo_plotu_proc
550100010530,100.0
550100010531,100.0
550100010532,85.8
550100010533,0.0
550100010534,100.0
550100010535,99.98
550100010536,100.0
550100010537,100.0
550100010538,100.0
550100010539,0.05
550100010540,100.0
550100010541,57.94
550100010542,100.0
550100010543,100.0
550100010544,97.73
550100010545,84.2
550100010546,100.0
550100010547,100.0
550100010548,100.0
550100010549,99.9
550100010550,100.0
550100010551,100.0
550100010552,100.0
550100010553,100.0
550100010554,100.0
550100010555,100.0
550100010556,100.0
550100010557,2.0
550100010558,100.0
550100010559,99.98
550100010560,100.0
550100010561,100.0
550100010562,100.0
550100010563,100.0
550100010564,99.87
550100010565,100.0
550100010566,100.0
550100010567,100.0
550100010568,100.0
550100010569,98.21
550100010570,100.0
550100010571,100.0
550100010572,70.35
550100010573,73.61
550100010574,79.35
550100010575,100.0
550100010576,81.67
550100010577,0.0
550100010578,100.0
550100010579,100.0
550100010580,100.0
550100010581,14.95
550100010582,100.0
550100010583,100.0
550100010584,100.0
550100010585,100.0
550100010586,0.62
550100010587,0.08
550100010588,0.04
550100010589,3.76
550100010590,100.0
550100010591,79.34
550100010592,100.0
550100010593,100.0
550100010594,100.0
550100010595,68.37
550100010596,100.0
550100010597,100.0
550100010598,100.0
550100010599,100.0
550100010600,98.15
550100010601,0.63
550100010602,9.06
550100010603,98.84
550100010604,100.0
550100010605,100.0
550100010606,100.0
550100010607,0.0
550100010608,100.0
550100010609,100.0
550100010610,100.0
550100010611,100.0
550100010612,99.98
550100010613,100.0
550100010614,79.94
550100010615,0.0
550100010616,2.96
550100010617,100.0
550100010618,100.0
550100010619,100.0
550100010620,100.0
550100010621,1.7
550100010622,1.69
550100010623,100.0
550100010624,100.0
550100010625,77.17
550100010626,100.0
550100010627,100.0
550100010628,99.79
550100010629,100.0
550100010630,100.0
550100010632,99.96
550100010633,100.0
550100010634,99.22
550100010635,100.0
550100010636,1.22
550100010637,100.0
550100010638,100.0
550100010639,100.0
550100010640,100.0
550100010641,100.0
550100010642,100.0
550100010643,98.48
550100010644,100.0
550100010645,9.46
550100010646,68.25
550100010647,100.0
550100010648,82.79
550100010649,100.0
550100010650,94.17
550100010651,0.0
550100010652,0.03
550100010653,81.43
550100010654,100.0
550100010655,0.0
550100010656,93.18
550100010657,81.41
550100010658,100.0
550100010659,100.0
550100010660,100.0
550100010661,86.02
550100010662,89.56
550100010663,100.0
550100010664,100.0
550100010665,99.96
550100010666,100.0
550100010667,100.0
550100010668,100.0
550100010670,0.98
550100010671,0.0
550100010672,0.0
550100010673,0.42
550100010674,100.0
550100010675,100.0
550100010676,100.0
550100010677,100.0
550100010678,100.0
550100010679,100.0
550100010681,73.9
550100010682,100.0
550100010683,100.0
550100010684,100.0
550100010685,100.0
550100010686,100.0
550100010687,100.0
550100010688,0.0
550100010689,100.0
550100010690,100.0
550100010691,100.0
550100010692,100.0
550100010693,0.25
550100010694,100.0
550100020001,64.52
550100020002,75.99
550100020003,100.0
550100020004,0.0
550100020005,100.0
550100020006,2.37
550100020007,0.0
550100020008,0.0
550100020009,0.0
550100020010,0.0
550100020011,0.0
550100020013,0.0
550100020015,29.51
550100020017,100.0
550100020018,100.0
550100020020,100.0
550100020021,99.68
550100020022,90.41
550100020023,68.17
550100020024,2.87
550100020025,98.6
550100020026,100.0
